Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
275,-2.312917,0.268164,9.289976,0.01025391,0.008789063,0.9931641,15.99951,15.99951,15.12012
277,-2.293762,0.258587,9.313919,0.01025391,0.000976563,0.9970703,15.99951,15.99951,15.10938
279,-2.298551,0.268164,9.304342,-0.02490234,0.008789063,0.9853516,15.99951,15.99951,15.10938
282,-2.288974,0.272953,9.27561,-0.01708984,0.02832031,0.9814453,15.99951,15.99951,15.10938
285,-2.303339,0.258587,9.270822,0.006347656,0.004882813,1.01709,15.99951,15.99951,15.11768
287,-2.37038,0.28253,9.280398,0.02978516,0.008789063,0.9931641,15.99951,15.99951,15.11768
289,-2.351226,0.253798,9.270822,-0.02880859,0.01660156,0.9853516,15.99951,15.99951,15.11768
291,-2.351226,0.253798,9.289976,-0.01318359,0.000976563,0.9970703,15.99951,15.99951,15.11768
293,-2.33686,0.263376,9.266033,-0.04052734,0.008789063,0.9931641,15.99951,15.99951,15.11768
295,-2.341649,0.277742,9.251667,0.01025391,0.02832031,0.9736328,15.99951,15.99951,15.11768
297,-2.312917,0.253798,9.285188,-0.01708984,0.000976563,0.9814453,15.99951,15.99951,15.11768
299,-2.303339,0.263376,9.261244,0.03808594,0.01269531,0.9658203,15.99951,15.99951,15.12256
301,-2.317705,0.263376,9.299553,-0.01708984,0.01269531,0.9931641,15.99951,15.99951,15.12256
303,-2.303339,0.268164,9.304342,-0.01318359,0.01660156,1.000977,15.99951,15.99951,15.12256
305,-2.317705,0.268164,9.280398,-0.008789063,0.004882813,0.9931641,15.99951,15.99951,15.11475
307,-2.298551,0.24901,9.266033,-0.02490234,0.004882813,0.9892578,15.99951,15.99951,15.11475
309,0.181969,1.810109,8.724916,-0.01318359,-0.02197266,0.9892578,15.99951,15.99951,15.11475
311,-1.91067,-0.287319,9.424058,0.002441406,0.008789063,0.9931641,15.99951,15.99951,15.11475
313,-1.297723,-0.229855,9.036178,0.006347656,-0.02197266,0.9892578,15.99951,15.99951,15.1123
315,8.006618,7.652258,7.7193,-0.000976563,0.01269531,1.000977,15.99951,15.99951,15.1123
318,4.793436,-2.58587,11.981195,0.002441406,0.03613281,1.020996,15.99951,15.99951,15.1123
320,-2.044752,2.978539,9.850247,0.01025391,0.008789063,0.9931641,15.99951,15.99951,15.11768
322,-0.818859,4.055984,8.360978,0.002441406,0.02050781,0.9931641,15.99951,15.99951,15.11768
324,-1.268992,1.307301,6.986637,0.01806641,0.000976563,0.9736328,15.99951,15.99951,15.11768
326,2.016021,6.58439,9.050544,-0.008789063,0.01269531,0.9853516,15.99951,15.99951,15.11768
328,-0.967307,3.443038,10.300381,0.002441406,0.000976563,1.008789,15.99951,15.99951,15.10449
330,2.523617,2.197989,12.196685,-0.008789063,0.01269531,1.020996,15.99951,15.99951,15.10449
332,-0.560272,6.775936,5.147796,-0.004882813,0.004882813,1.000977,15.99951,15.99951,15.10449
334,15.18959,-3.7543,75.852173,0.002441406,0.000976563,0.9931641,15.99951,15.99951,15.10449
336,62.252415,46.220024,44.074711,-0.01708984,-0.01416016,0.9892578,15.99951,15.99951,15.10449
338,-10.803188,-6.742415,75.87133,0.02587891,0.01269531,0.9970703,15.99951,15.99951,15.10449
340,1.915459,3.332899,77.365387,-0.01318359,0.01269531,1.000977,15.99951,15.99951,15.12012
342,-20.610338,-17.124203,69.684395,-0.008789063,-0.006347656,0.9892578,15.99951,15.99951,15.12012
344,-12.795266,-9.270822,72.74913,-0.02099609,0.04443359,0.9853516,15.99951,15.99951,15.12012
346,-15.860001,-6.416788,74.568817,-0.01708984,0.01269531,1.020996,15.99951,15.99951,15.12012
348,-16.223938,-6.51256,74.568817,-0.004882813,0.004882813,1.024902,15.99951,15.99951,15.1123
351,-16.415483,-6.225242,74.415581,-0.008789063,0.01660156,1.000977,15.99951,15.99951,15.1123
353,-16.492102,-6.091159,73.898407,-0.008789063,0.02441406,1.004883,15.99951,15.99951,15.1123
355,-17.507296,-5.171739,74.702896,0.006347656,0.02050781,1.013184,15.99951,15.99951,15.10693
357,-16.760265,-5.59314,74.741211,0.006347656,0.05224609,0.9931641,15.99951,15.99951,15.10693
359,-17.526449,-5.267512,74.070801,0.01806641,-0.006347656,1.000977,15.99951,15.99951,15.10693
361,-16.836884,-5.018503,74.20488,0.006347656,0.01660156,1.024902,15.99951,15.99951,15.10693
363,-16.951813,-5.478213,74.54966,-0.01708984,0.01269531,1.01709,15.99951,15.99951,15.11475
365,-17.143358,-5.420749,74.262344,-0.02099609,0.03613281,0.9931641,15.99951,15.99951,15.11475
367,-17.162512,-5.573986,74.377274,-0.008789063,0.02441406,0.9853516,15.99951,15.99951,15.11475
369,-17.315748,-5.13343,74.089951,0.01025391,-0.002441406,0.9614258,15.99951,15.99951,15.12012
371,-17.06674,-5.497367,75.239227,0.002441406,0.004882813,1.000977,15.99951,15.99951,15.12012
373,-17.23913,-5.401594,74.338959,0.006347656,0.01660156,0.9853516,15.99951,15.99951,15.12012
375,-16.836884,-5.324976,73.87925,-0.01318359,0.008789063,0.9892578,15.99951,15.99951,15.11768
377,-17.105049,-5.344131,74.492203,-0.02490234,0.05224609,0.9853516,15.99951,15.99951,15.11768
379,-16.875193,-4.999348,73.649399,0.01025391,0.02441406,0.9658203,15.99951,15.99951,15.11768
381,-17.48814,-5.286667,73.630241,-0.004882813,0.01660156,0.9892578,15.99951,15.99951,15.11768
384,-17.277439,-5.746377,74.587975,0.04199219,0.000976563,1.008789,15.99951,15.99951,15.1123
386,-17.507296,-5.152585,74.568817,-0.03662109,0.01660156,1.008789,15.99951,15.99951,15.1123
388,-17.583914,-5.190894,74.473045,-0.02099609,0.02050781,0.9892578,15.99951,15.99951,15.1123
390,-17.73715,-5.13343,74.702896,-0.000976563,0.03613281,0.9892578,15.99951,15.99951,15.11475
392,-17.48814,-5.075966,74.358116,-0.03271484,0.02050781,1.004883,15.99951,15.99951,15.11475
394,-17.354057,-5.344131,74.243187,-0.004882813,-0.006347656,0.9931641,15.99951,15.99951,15.11475
396,-17.373213,-5.478213,73.936714,-0.02099609,0.01269531,1.004883,15.99951,15.99951,15.11475
398,-17.162512,-5.114275,74.358116,-0.02880859,0.03222656,1.028809,15.99951,15.99951,15.11475
400,-17.545605,-4.88442,74.453888,-0.04443359,0.000976563,1.036621,15.99951,15.99951,15.11475
402,-17.756304,-5.324976,74.894447,0.006347656,0.008789063,1.000977,15.99951,15.99951,15.11475
404,-17.545605,-4.941884,74.645439,0.01416016,0.02832031,0.9853516,15.99951,15.99951,15.12256
406,-17.315748,-4.903575,74.396423,0.002441406,0.000976563,1.008789,15.99951,15.99951,15.12256
408,-19.135435,-7.585217,72.998138,-0.02490234,-0.002441406,1.004883,15.99951,15.99951,15.12256
410,-21.146667,-2.949807,72.231956,0.01416016,0.004882813,1.032715,15.99951,15.99951,15.10449
412,-22.315098,-5.190894,74.626282,-0.000976563,0.01660156,1.013184,15.99951,15.99951,15.10449
416,-18.522488,9.175049,73.304611,0.002441406,-0.002441406,0.9658203,15.99951,15.99951,15.10449
419,-12.048237,12.967657,80.908989,-0.000976563,0.004882813,1.004883,15.99951,15.99951,15.10449
421,-16.109011,9.653913,84.069496,-0.02490234,0.03222656,1.008789,15.99951,15.99951,15.11768
423,-23.349445,2.949807,65.010674,-0.04052734,0.01660156,0.9853516,15.99951,15.99951,15.11768
425,-22.315098,7.431981,75.162613,-0.02490234,0.02050781,0.9931641,15.99951,15.99951,15.11768
427,-17.660532,6.129469,73.151375,-0.02490234,0.000976563,1.028809,15.99951,15.99951,15.10938
429,-21.338213,9.730532,66.734589,0.01806641,0.03222656,1.004883,15.99951,15.99951,15.10938
431,-20.28471,9.922077,63.97633,-0.02099609,0.01660156,1.008789,15.99951,15.99951,15.10938
433,-18.867271,2.758261,62.807899,-0.01318359,0.02832031,1.008789,15.99951,15.99951,15.1123
435,-17.871233,12.14401,75.20092,0.002441406,0.02832031,1.008789,15.99951,15.99951,15.1123
437,-21.165821,6.79988,82.671211,0.04589844,0.008789063,0.9931641,15.99951,15.99951,15.1123
439,-20.380484,-0.976884,72.327728,-0.004882813,0.01660156,1.024902,15.99951,15.99951,15.1123
441,-12.450483,10.803188,81.062225,0.02197266,-0.01416016,0.9970703,15.99951,15.99951,15.11768
443,-16.702803,11.454445,72.787437,-0.04833984,0.03222656,1.000977,15.99951,15.99951,15.11768
445,-14.634107,-0.229855,74.166573,-0.008789063,0.01269531,1.000977,15.99951,15.99951,15.11768
447,-17.392368,-2.221932,73.821785,-0.000976563,0.02050781,1.028809,15.99951,15.99951,15.11768
449,-16.089855,-3.926691,72.710823,-0.01318359,0.02050781,1.032715,15.99951,15.99951,15.11768
452,-13.197513,-5.880459,75.852173,0.002441406,-0.006347656,1.004883,15.99951,15.99951,15.11768
454,-12.163164,-5.84215,74.453888,0.01806641,0.01269531,0.9853516,15.99951,15.99951,15.11768
456,-12.278092,-5.976232,75.392464,-0.02490234,0.02050781,0.9970703,15.99951,15.99951,15.10449
458,-13.829614,-4.156546,75.20092,-0.01318359,0.01269531,1.020996,15.99951,15.99951,15.10449
460,-12.891039,-4.137392,75.085991,-0.02099609,0.06396484,1.008789,15.99951,15.99951,15.10449
462,-12.431329,-5.439903,75.066833,0.002441406,0.02050781,1.004883,15.99951,15.99951,15.10449
464,-13.408213,-6.857343,75.354156,0.01416016,-0.006347656,0.9736328,15.99951,15.99951,15.10449
466,-12.546256,-3.581908,74.453888,-0.008789063,0.004882813,0.9658203,15.99951,15.99951,15.10449
468,-11.282053,-5.248358,75.833023,-0.000976563,0.000976563,1.01709,15.99951,15.99951,15.11475
470,-12.335556,-10.764879,73.706863,0.006347656,0.004882813,1.004883,15.99951,15.99951,15.11475
472,-15.132126,-10.037005,75.028526,-0.000976563,0.01269531,0.9892578,15.99951,15.99951,15.11475
474,-17.354057,-10.075315,76.54174,-0.02880859,0.004882813,1.028809,15.99951,15.99951,15.11475
476,-18.139397,-1.992077,68.592583,-0.01708984,0.02441406,0.9970703,15.99951,15.99951,15.10693
478,-22.16186,-3.371208,72.021255,0.006347656,0.000976563,1.000977,15.99951,15.99951,15.10693
480,-22.851425,-7.451135,68.152031,-0.000976563,0.03613281,0.9775391,15.99951,15.99951,15.10693
482,-23.847464,-10.649952,90.17981,-0.01318359,0.03613281,0.9970703,15.99951,15.99951,15.10938
485,-7.815073,13.944541,74.300652,-0.000976563,-0.02197266,1.036621,15.99951,15.99951,15.10938
487,-19.461063,-3.160507,67.883865,0.01025391,0.02050781,0.9892578,15.99951,15.99951,15.10938
489,-24.288019,6.014541,85.735947,-0.01318359,0.02441406,1.000977,15.99951,15.99951,15.10938
491,-19.403599,-2.375169,64.685051,-0.01318359,0.000976563,1.000977,15.99951,15.99951,15.11475
493,-26.031088,-3.601063,68.362732,-0.004882813,0.000976563,1.000977,15.99951,15.99951,15.11475
495,-31.394373,-14.538334,77.518623,0.002441406,0.000976563,1.032715,15.99951,15.99951,15.11475
497,-9.59645,0.45971,74.702896,-0.02490234,0.01660156,0.9892578,15.99951,15.99951,15.10938
499,-14.749034,-1.666449,68.554276,0.01025391,0.02050781,0.9931641,15.99951,15.99951,15.10938
501,-25.992779,-10.075315,85.640167,-0.008789063,0.01660156,1.000977,15.99951,15.99951,15.10938
503,-15.668454,10.918116,70.201569,-0.02490234,0.01660156,0.9775391,15.99951,15.99951,15.10449
505,-19.499372,-7.853382,56.084637,-0.000976563,-0.01416016,1.024902,15.99951,15.99951,15.10449
507,-27.122898,-11.856691,75.162613,-0.02490234,0.004882813,1.000977,15.99951,15.99951,15.10449
509,-43.519226,-15.036353,80.334351,0.01416016,0.01269531,0.9853516,15.99951,15.99951,15.10449
511,-13.98285,-12.871884,56.697586,-0.004882813,0.004882813,1.000977,15.99951,15.99951,15.12012
513,-10.994735,8.217319,68.496811,-0.004882813,0.008789063,1.008789,15.99951,15.99951,15.12012
515,-18.828962,-17.334904,140.518066,-0.008789063,0.004882813,1.000977,15.99951,15.99951,15.12012
518,-51.410919,14.002005,89.643478,-0.03271484,0.01269531,1.013184,15.99951,15.99951,15.10449
520,-17.085894,0.019155,44.706814,-0.04443359,0.004882813,1.024902,15.99951,15.99951,15.10449
522,-26.050241,-6.186933,71.197609,-0.000976563,0.01660156,1.020996,15.99951,15.99951,15.10449
524,-2.030386,11.033044,82.80529,0.01025391,0.02832031,0.9970703,15.99951,15.99951,15.12012
526,-13.848768,2.719952,62.635509,-0.000976563,-0.002441406,1.008789,15.99951,15.99951,15.12012
528,-16.798574,-10.97558,90.256424,0.01025391,0.000976563,0.9931641,15.99951,15.99951,15.12012
530,-45.81778,-9.845459,90.141502,0.002441406,0.004882813,0.9970703,15.99951,15.99951,15.12012
532,-57.770241,3.237126,86.617058,0.02197266,0.01269531,1.008789,15.99951,15.99951,15.10938
534,-25.571377,-7.949155,66.179108,-0.02099609,0.01660156,1.013184,15.99951,15.99951,15.10938
536,-12.124855,-4.539638,76.158646,0.01025391,-0.01025391,0.9814453,15.99951,15.99951,15.10938
538,-10.171087,3.486135,69.435387,0.002441406,-0.006347656,0.9736328,15.99951,15.99951,15.10693
540,-13.254976,-1.340821,76.158646,-0.03271484,0.008789063,1.004883,15.99951,15.99951,15.10693
542,-7.68099,-4.348092,81.46447,-0.01708984,0.02050781,1.004883,15.99951,15.99951,15.10693
544,-18.081932,1.723913,74.760361,-0.03271484,0.004882813,1.01709,15.99951,15.99951,15.10693
546,-18.733189,-2.183623,64.665894,-0.008789063,0.02441406,1.004883,15.99951,15.99951,15.09912
